"id","model","field_id/name","field_id/ttype"
"analytic.model_account_analytic_account","account.analytic.account","active","boolean"
"","","balance","monetary"
"","","code","char"
"","","company_id","many2one"
"","","company_uom_id","many2one"
"","","create_date","datetime"
"","","create_uid","many2one"
"","","credit","monetary"
"","","currency_id","many2one"
"","","debit","monetary"
"","","display_name","char"
"","","id","integer"
"","","__last_update","datetime"
"","","line_ids","one2many"
"","","message_channel_ids","many2many"
"","","message_follower_ids","one2many"
"","","message_ids","one2many"
"","","message_is_follower","boolean"
"","","message_last_post","datetime"
"","","message_needaction","boolean"
"","","message_needaction_counter","integer"
"","","message_partner_ids","many2many"
"","","message_unread","boolean"
"","","message_unread_counter","integer"
"","","name","char"
"","","partner_id","many2one"
"","","project_count","integer"
"","","project_ids","one2many"
"","","tag_ids","many2many"
"","","website_message_ids","one2many"
"","","write_date","datetime"
"","","write_uid","many2one"
"account.model_account_bank_statement","account.bank.statement","all_lines_reconciled","boolean"
"","","balance_end","monetary"
"","","balance_end_real","monetary"
"","","balance_start","monetary"
"","","cashbox_end_id","many2one"
"","","cashbox_start_id","many2one"
"","","company_id","many2one"
"","","create_date","datetime"
"","","create_uid","many2one"
"","","currency_id","many2one"
"","","date","date"
"","","date_done","datetime"
"","","difference","monetary"
"","","display_name","char"
"","","id","integer"
"","","is_difference_zero","boolean"
"","","journal_id","many2one"
"","","journal_type","selection"
"","","__last_update","datetime"
"","","line_ids","one2many"
"","","message_channel_ids","many2many"
"","","message_follower_ids","one2many"
"","","message_ids","one2many"
"","","message_is_follower","boolean"
"","","message_last_post","datetime"
"","","message_needaction","boolean"
"","","message_needaction_counter","integer"
"","","message_partner_ids","many2many"
"","","message_unread","boolean"
"","","message_unread_counter","integer"
"","","move_line_count","integer"
"","","move_line_ids","one2many"
"","","name","char"
"","","reference","char"
"","","state","selection"
"","","total_entry_encoding","monetary"
"","","user_id","many2one"
"","","website_message_ids","one2many"
"","","write_date","datetime"
"","","write_uid","many2one"
"account.model_res_partner","res.partner","active","boolean"
"","","activity_date_deadline","date"
"","","activity_ids","one2many"
"","","activity_state","selection"
"","","activity_summary","char"
"","","activity_type_id","many2one"
"","","activity_user_id","many2one"
"","","bank_account_count","integer"
"","","bank_ids","one2many"
"","","barcode","char"
"","","calendar_last_notif_ack","datetime"
"","","category_id","many2many"
"","","channel_ids","many2many"
"","","child_ids","one2many"
"","","city","char"
"","","color","integer"
"","","comment","text"
"","","commercial_company_name","char"
"","","commercial_partner_country_id","many2one"
"","","commercial_partner_id","many2one"
"","","company_id","many2one"
"","","company_name","char"
"","","company_type","selection"
"","","contact_address","char"
"","","contract_ids","one2many"
"","","contracts_count","integer"
"","","country_id","many2one"
"","","create_date","datetime"
"","","create_uid","many2one"
"","","credit","monetary"
"","","credit_limit","float"
"","","currency_id","many2one"
"","","customer","boolean"
"","","date","date"
"","","debit","monetary"
"","","debit_limit","monetary"
"","","display_name","char"
"","","email","char"
"","","email_formatted","char"
"","","employee","boolean"
"","","function","char"
"","","has_unreconciled_entries","boolean"
"","","id","integer"
"","","image","binary"
"","","image_medium","binary"
"","","image_small","binary"
"","","im_status","char"
"","","industry_id","many2one"
"","","invoice_ids","one2many"
"","","invoice_warn","selection"
"","","invoice_warn_msg","text"
"","","is_company","boolean"
"","","journal_item_count","integer"
"","","lang","selection"
"","","last_time_entries_checked","datetime"
"","","__last_update","datetime"
"","","machine_company_name","char"
"","","meeting_count","integer"
"","","meeting_ids","many2many"
"","","message_bounce","integer"
"","","message_channel_ids","many2many"
"","","message_follower_ids","one2many"
"","","message_ids","one2many"
"","","message_is_follower","boolean"
"","","message_last_post","datetime"
"","","message_needaction","boolean"
"","","message_needaction_counter","integer"
"","","message_partner_ids","many2many"
"","","message_unread","boolean"
"","","message_unread_counter","integer"
"","","mobile","char"
"","","name","char"
"","","opportunity_count","integer"
"","","opportunity_ids","one2many"
"","","opt_out","boolean"
"","","parent_id","many2one"
"","","parent_name","char"
"","","partner_share","boolean"
"","","payment_token_count","integer"
"","","payment_token_ids","one2many"
"","","phone","char"
"","","picking_warn","selection"
"","","picking_warn_msg","text"
"","","property_account_payable_id","many2one"
"","","property_account_position_id","many2one"
"","","property_account_receivable_id","many2one"
"","","property_autosales_config","many2one"
"","","property_payment_term_id","many2one"
"","","property_product_pricelist","many2one"
"","","property_purchase_currency_id","many2one"
"","","property_stock_customer","many2one"
"","","property_stock_supplier","many2one"
"","","property_supplier_payment_term_id","many2one"
"","","purchase_order_count","integer"
"","","purchase_warn","selection"
"","","purchase_warn_msg","text"
"","","ref","char"
"","","ref_company_ids","one2many"
"","","sale_order_count","integer"
"","","sale_order_ids","one2many"
"","","sale_warn","selection"
"","","sale_warn_msg","text"
"","","self","many2one"
"","","signup_expiration","datetime"
"","","signup_token","char"
"","","signup_type","char"
"","","signup_url","char"
"","","signup_valid","boolean"
"","","siret","char"
"","","state_id","many2one"
"","","street","char"
"","","street2","char"
"","","supplier","boolean"
"","","supplier_invoice_count","integer"
"","","task_count","integer"
"","","task_ids","one2many"
"","","team_id","many2one"
"","","title","many2one"
"","","total_invoiced","monetary"
"","","trust","selection"
"","","type","selection"
"","","tz","selection"
"","","tz_offset","char"
"","","user_id","many2one"
"","","user_ids","one2many"
"","","vat","char"
"","","website","char"
"","","website_message_ids","one2many"
"","","write_date","datetime"
"","","write_uid","many2one"
"","","zip","char"
"crm_livechat.model_mail_channel","mail.channel","alias_contact","selection"
"","","alias_defaults","text"
"","","alias_domain","char"
"","","alias_force_thread_id","integer"
"","","alias_id","many2one"
"","","alias_model_id","many2one"
"","","alias_name","char"
"","","alias_parent_model_id","many2one"
"","","alias_parent_thread_id","integer"
"","","alias_user_id","many2one"
"","","anonymous_name","char"
"","","channel_last_seen_partner_ids","one2many"
"","","channel_message_ids","many2many"
"","","channel_partner_ids","many2many"
"","","channel_type","selection"
"","","create_date","datetime"
"","","create_uid","many2one"
"","","description","text"
"","","display_name","char"
"","","email_send","boolean"
"","","group_ids","many2many"
"","","group_public_id","many2one"
"","","id","integer"
"","","image","binary"
"","","image_medium","binary"
"","","image_small","binary"
"","","is_member","boolean"
"","","is_subscribed","boolean"
"","","__last_update","datetime"
"","","livechat_channel_id","many2one"
"","","message_channel_ids","many2many"
"","","message_follower_ids","one2many"
"","","message_ids","one2many"
"","","message_is_follower","boolean"
"","","message_last_post","datetime"
"","","message_needaction","boolean"
"","","message_needaction_counter","integer"
"","","message_partner_ids","many2many"
"","","message_unread","boolean"
"","","message_unread_counter","integer"
"","","name","char"
"","","public","selection"
"","","rating_count","integer"
"","","rating_ids","one2many"
"","","rating_last_feedback","text"
"","","rating_last_image","binary"
"","","rating_last_value","float"
"","","uuid","char"
"","","website_message_ids","one2many"
"","","write_date","datetime"
